Episode;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SOLL;;;;;;;;;;;;;;;IST;;;;;;;;;;;;;;;
;;Nr.;Marke;Modell;Typ;Kommentar;Kraftstoff;Umbauten;Zylinder;Getriebe;PS;Verbrauch;KM-Stand;BauJahr;ErstZulassung;;Result;pMax;(u/min);nMax (u/min);pMax2; (u/min);nMax2;)u/min);;Kunde;KZ;Region;Bundesland;Land;;Entfernung (~km);
;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;BMW;E39;520i;;Benzin;;6;Manuell;150;9.5;unter 170.000;;;;-12,8;137,2;5710;171,9 (4690);137,4;5749;174,4;4677;;;;;;;;44141 Dortmund;Im Defdahl 12
;;2;Opel;Vectra B;2.2 (Z22SE);;Benzin;Caravan Sport;;;170;;217.000;;;;;;;;146,2;6050;193,4;4348;;;;;;;;;
;;3;Ford;Escort MK-III;1.6 Vergaser;;Benzin;;;;78;;;1981;;;;;;;82,7;5566;121,4;3177;;;SO;Soest;NRW;DE;;47;
;;4;Volkswagen;T4;2.5D;;Diesel;;;;88;;920.000;;;;;;;;82,3;3240;205,9;2470;;;RE;Recklinghausen;NRW;DE;;36;
;;5;BMW;E30;318is;Mehrventiler 16v;Benzin;;;Manuell;136;;;;;;;;;;135,7;6436;165,1;4820;;;OP;Opladen;NRW;DE;;85;
;;6;Audi;80 (B3);1.8S Vergaser;;;;;;88;;;;;;;;;;88,4;5424;147,2;3090;;;;;;;;;
;;7;Golf;2;GTI 16V;;;;;;;;;;;;;;;;134,4;6467;159,4;5494;;;GLA;Gladbeck;NRW;DE;;49;
;;Data;;;;;;;;;710;;;;;;;;;;807,1;;;;;;;;;;;;
;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;Mini;Cooper;1.6 Sauger;;;;;;116;;156.246;2002;;;;;;;126,2;5742;161,6;4619;;;FB;Friedberg;HESSEN;DE;;250;
;;2;Volkswagen;Polo  (6N1);1.4;;;Käfig, Fächerkrümmer;;;60;;;;;;;73,2;5448;121,0 (3596);74,2;5482;124,6;3597;;;B;Berlin;Berlin ;DE;;490;
;;3;Volkswagen;Golf IV;1.8 Turbo;K03 1BAR;;;;;200;;;;;;;;;;218;5606;357,4;3383;;;GM;Gummersbach;NRW;DE;;77;
;;4;BMW;E39;528i;;;;6;;193;;337.000;;;;;;;;191,5;5387;277,6;399;;;VB;VogelsbergKreis;Hessen;DE;;250;
;;5;Volvo;C70 Coupe;;;;;;Automatik;239;;129.996;;;;;;;;230,8;5919;312,7;4717;;;GL;Bergisch Gladbach;NRW;DE;;85;
;;6;Volvo;850 (T5);;;;;5;Automatik;252;;;;;;;219,8;5431;288,1 (5411);196,2;5360;270,9;3828;;;K;Köln;NRW;DE;;100;
;;7;Pontiac;Sunbird;2.0T;Cabrio, TOP TEIL;;;;;165;;;1988;;;;;;;181,6;5783;279,5;3056;;;LÖ;Lörrach;Baden-Württemberg;DE;;550;
;;Data;;;;;;;;;1225;;;;;;;;;;1218,5;;;;;;;;;;;;
;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;Seat;Toledo;1.6;Kaufpreis 1.700 bei 63.000;;;;;101;6.5;83.000;;;;;101,3;5897;139,6 (3307);102,7;5595;142,6;3382;;;DD;Dresden;Sachsen;DE;;520;
;;2;Volkswagen;Golf I (Cabrio);1.8;;;Motor, Nockenwelle usw. Custom;;;75;;105.009;;;;;;;;120,1;5264;175,1;3893;;;;;;;;;
;;3;BMW;E39;528;24V;;Scharfe Nockenwelle, Alpina Software;;;193;;307.241;;;;;;;;189;6210;238,9;4807;;;SU;Siegburg;NRW;DE;;120;
;;4;Volkswagen;Lupo;1.0;;;;;;50;;158.698;;;;;;;;54,7;4830;85;3438;;;SO;Soest;NRW;DE;;47;
;;Data;;;;;;;;;419;;;;;;;;;;466,5;;;;;;;;;;;;
;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;Volkswagen;IV (Cabrio);1.6;;;;;;101;;200.662;;;;;;;;130,2;5853;140,3;4580;;;DO;Dortmund;NRW;DE;;0;
;;2;Mercedes;W124 T;250D Sauger;7 Sitzer;Diesel;;5;Manuell;113;8.0;469.811;;;;;;;;96,1;5018;146,6;4213;;;EL;Lingen;Niedersachsen;DE;;150;
;;3;Volkswagen;Golf IV;1.9 TDI;;Diesel;;;;90;;462.451;;;;;;;;92,3;3723;225,5;2517;;;EL;Lingen;Niedersachsen;DE;;150;
;;4;Alfa Romeo;156;;16V Twin Spark;;Turbo (Lowboost);;;150;;;;;;;;;;186,7;5869;280,8;3712;;;EM;Emmendingen;Baden-Württemberg;DE;;474;
;;5;Volkswagen;T4;2.4D Sauger;;Diesel;;;Manuell;78;;321.953;;;;;;;;61,6;3907;154;1793;;;GT;Gütersloh;NRW;DE;;90;
;;6;Audi;80 (B4);2.8;Avant (Tests mit Saugrohrumschaltung);;;;;174;;233.019;;;;;130,2;4626;232,3 (3185);153,1;5485;233,5;3163;;;NR;Neuwied;RLP;DE;;165;
;;7;Mercedes;S500;;;;;;Automatik;306;;;;;;;;;;298,2;5982;427,1;3968;;;OB;Oberhausen;NRW;DE;;55;
;;8;Ford;Fiesta;1.1;Gekauft für 200€;;;;;50;;76.397;;;;;;;;47,4;4980;83;2870;;;SL;Schleswig-Flensburg;Schleswig-Holstein;DE;;484;
;;9;Ford;Sierra;2.0i;LX, Gekauft 600€ (Kurbelwellensensor war defekt);;;;;120;;;;;;;;;;117,1;6016;174,6;2615;;;SL;Schleswig-Flensburg;Schleswig-Holstein;DE;;484;
;;10;Audi;80 (B3);1.9S;Gekauft für 6.000€  bei 26.000;;;5;;113;;36.120;1989;;;;;;;104,1;5192;159,5;3322;;;FB;Friedberg;Hessen;DE;;250;
;;11;Lancia;Kappa (Coupe);2.0t;Gekauft vor 8 Jahren für 2000€;;;5;;220;;250.184;1998;;;;;;;238,5;6250;342,3;3342;;;TF;Teltow-Fläming;Brandenburg;DE;;500;
;;Data;;;;;;;;;1515;;;;;;;;;;1525,3;;;;;;;;;;;;
;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
